2025-12-14 13:51:25,597 - INFO - risk_monitor - Connected ccxt exchange 'kraken' (id=kraken, 1405 markets)
2025-12-14 13:51:28,784 - INFO - risk_monitor - Connected ccxt exchange 'bitget_spot' (id=bitget, 1396 markets)
2025-12-14 13:51:31,775 - INFO - risk_monitor - Connected ccxt exchange 'bitget_futures' (id=bitget, 1396 markets)
2025-12-14 13:51:31,775 - INFO - risk_monitor - Building dynamic trading universe from exchange markets
2025-12-14 13:51:31,776 - INFO - risk_monitor - Capping symbols for kraken from 587 to 120
2025-12-14 13:51:31,776 - INFO - risk_monitor - Exchange kraken – using 120 symbols (filtered by quotes=EUR,USDT, include_futures=True)
2025-12-14 13:51:31,777 - INFO - risk_monitor - Capping symbols for bitget_spot from 1187 to 120
2025-12-14 13:51:31,777 - INFO - risk_monitor - Exchange bitget_spot – using 120 symbols (filtered by quotes=EUR,USDT, include_futures=True)
2025-12-14 13:51:31,777 - INFO - risk_monitor - Capping symbols for bitget_futures from 1187 to 120
2025-12-14 13:51:31,777 - INFO - risk_monitor - Exchange bitget_futures – using 120 symbols (filtered by quotes=EUR,USDT, include_futures=True)
2025-12-14 13:51:31,778 - INFO - risk_monitor - Risk monitor started with 3 exchanges (interval=120s)
2025-12-14 13:58:03,617 - INFO - risk_monitor - Risk score 71.0 (TRADE) | spreads 134.5bps | volume $403551541 | latency kraken:948ms, bitget_spot:269ms, bitget_futures:264ms
2025-12-14 14:06:38,171 - INFO - risk_monitor - Risk score 70.0 (TRADE) | spreads 120.5bps | volume $401957999 | latency kraken:939ms, bitget_spot:261ms, bitget_futures:282ms
2025-12-14 14:15:10,679 - INFO - risk_monitor - Risk score 68.0 (TRADE_WITH_CAUTION) | spreads 89.2bps | volume $402395321 | latency kraken:944ms, bitget_spot:266ms, bitget_futures:271ms
2025-12-14 14:23:47,303 - INFO - risk_monitor - Risk score 70.0 (TRADE) | spreads 93.9bps | volume $403826529 | latency kraken:937ms, bitget_spot:274ms, bitget_futures:275ms
2025-12-14 14:32:18,626 - INFO - risk_monitor - Risk score 70.0 (TRADE) | spreads 85.9bps | volume $403649825 | latency kraken:941ms, bitget_spot:267ms, bitget_futures:264ms
2025-12-14 14:40:50,759 - INFO - risk_monitor - Risk score 69.0 (TRADE_WITH_CAUTION) | spreads 83.6bps | volume $403493690 | latency kraken:947ms, bitget_spot:270ms, bitget_futures:263ms
2025-12-14 14:49:28,519 - INFO - risk_monitor - Risk score 66.0 (TRADE_WITH_CAUTION) | spreads 87.0bps | volume $402155582 | latency kraken:938ms, bitget_spot:282ms, bitget_futures:276ms
2025-12-14 14:58:02,503 - INFO - risk_monitor - Risk score 67.0 (TRADE_WITH_CAUTION) | spreads 98.2bps | volume $400148490 | latency kraken:945ms, bitget_spot:278ms, bitget_futures:269ms
2025-12-14 15:06:36,291 - INFO - risk_monitor - Risk score 65.0 (TRADE_WITH_CAUTION) | spreads 81.3bps | volume $401164615 | latency kraken:943ms, bitget_spot:265ms, bitget_futures:276ms
2025-12-14 15:15:07,623 - INFO - risk_monitor - Risk score 65.0 (TRADE_WITH_CAUTION) | spreads 85.2bps | volume $400994568 | latency kraken:947ms, bitget_spot:269ms, bitget_futures:264ms
2025-12-14 15:23:40,648 - INFO - risk_monitor - Risk score 64.0 (TRADE_WITH_CAUTION) | spreads 84.0bps | volume $400498072 | latency kraken:944ms, bitget_spot:273ms, bitget_futures:265ms
2025-12-14 15:32:13,199 - INFO - risk_monitor - Risk score 67.0 (TRADE_WITH_CAUTION) | spreads 102.4bps | volume $398936412 | latency kraken:946ms, bitget_spot:269ms, bitget_futures:268ms
2025-12-14 15:40:45,572 - INFO - risk_monitor - Risk score 67.0 (TRADE_WITH_CAUTION) | spreads 91.7bps | volume $399753712 | latency kraken:949ms, bitget_spot:261ms, bitget_futures:275ms
2025-12-14 15:49:14,410 - INFO - risk_monitor - Risk score 68.0 (TRADE_WITH_CAUTION) | spreads 90.3bps | volume $400544516 | latency kraken:946ms, bitget_spot:261ms, bitget_futures:262ms
2025-12-14 15:57:49,212 - INFO - risk_monitor - Risk score 67.0 (TRADE_WITH_CAUTION) | spreads 88.5bps | volume $404621350 | latency kraken:946ms, bitget_spot:280ms, bitget_futures:267ms
2025-12-14 16:06:22,702 - INFO - risk_monitor - Risk score 67.0 (TRADE_WITH_CAUTION) | spreads 90.4bps | volume $408741844 | latency kraken:946ms, bitget_spot:263ms, bitget_futures:279ms
2025-12-14 16:14:54,977 - INFO - risk_monitor - Risk score 66.0 (TRADE_WITH_CAUTION) | spreads 87.3bps | volume $408081836 | latency kraken:945ms, bitget_spot:269ms, bitget_futures:265ms
2025-12-14 16:23:26,488 - INFO - risk_monitor - Risk score 68.0 (TRADE_WITH_CAUTION) | spreads 90.9bps | volume $407406197 | latency kraken:947ms, bitget_spot:266ms, bitget_futures:263ms
2025-12-14 16:32:01,339 - INFO - risk_monitor - Risk score 68.0 (TRADE_WITH_CAUTION) | spreads 89.5bps | volume $409598247 | latency kraken:948ms, bitget_spot:272ms, bitget_futures:273ms
2025-12-14 16:40:37,048 - INFO - risk_monitor - Risk score 70.0 (TRADE) | spreads 101.1bps | volume $411061145 | latency kraken:951ms, bitget_spot:275ms, bitget_futures:275ms
2025-12-14 16:49:07,406 - INFO - risk_monitor - Risk score 70.0 (TRADE) | spreads 90.9bps | volume $407850755 | latency kraken:934ms, bitget_spot:263ms, bitget_futures:266ms
2025-12-14 16:57:39,082 - INFO - risk_monitor - Risk score 69.0 (TRADE_WITH_CAUTION) | spreads 89.0bps | volume $406652734 | latency kraken:936ms, bitget_spot:269ms, bitget_futures:263ms
2025-12-14 17:06:12,520 - INFO - risk_monitor - Risk score 67.0 (TRADE_WITH_CAUTION) | spreads 88.5bps | volume $406925428 | latency kraken:947ms, bitget_spot:271ms, bitget_futures:270ms
2025-12-14 17:14:45,092 - INFO - risk_monitor - Risk score 66.0 (TRADE_WITH_CAUTION) | spreads 89.8bps | volume $404519241 | latency kraken:948ms, bitget_spot:266ms, bitget_futures:270ms
2025-12-14 17:23:17,008 - INFO - risk_monitor - Risk score 68.0 (TRADE_WITH_CAUTION) | spreads 106.0bps | volume $407417032 | latency kraken:938ms, bitget_spot:268ms, bitget_futures:266ms
2025-12-14 17:31:53,060 - INFO - risk_monitor - Risk score 70.0 (TRADE) | spreads 96.1bps | volume $407622348 | latency kraken:946ms, bitget_spot:264ms, bitget_futures:290ms
2025-12-14 17:40:22,048 - INFO - risk_monitor - Risk score 71.0 (TRADE) | spreads 92.2bps | volume $406036818 | latency kraken:949ms, bitget_spot:261ms, bitget_futures:263ms
